ts_unix,index,name,uuid,compute_cap,driver_version,temperature.gpu,utilization.gpu,utilization.memory,memory.total,memory.used,memory.free,clocks.sm,clocks.mem,power.draw,power.limit
1762635024,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 15.72, 150.00
1762635025,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 35, 0, 0, 23028, 0, 22599, 795, 6251, 40.21, 150.00
1762635026,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 28.30, 150.00
1762635027,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 15.96, 150.00
1762635028,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 15.86, 150.00
1762635029,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 17.40, 150.00
1762635030,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 17.40, 150.00
1762635031,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 15.86, 150.00
1762635032,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 15.86, 150.00
1762635033,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 15.86, 150.00
1762635034,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 15.86, 150.00
1762635035,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 15.86, 150.00
1762635036,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 0, 22599, 210, 405, 15.86, 150.00
1762635037,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 1, 22599, 210, 405, 15.86, 150.00
1762635038,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 36, 0, 0, 23028, 3227, 19373, 1695, 6251, 43.47, 150.00
1762635039,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 36, 0, 0, 23028, 2725, 19875, 1695, 6251, 56.72, 150.00
1762635040,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 36, 0, 0, 23028, 2725, 19875, 1695, 6251, 56.06, 150.00
1762635041,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 36, 0, 0, 23028, 2725, 19875, 1695, 6251, 56.10, 150.00
1762635042,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 37, 0, 0, 23028, 2725, 19875, 1695, 6251, 56.26, 150.00
1762635043,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 37, 0, 0, 23028, 2725, 19875, 1695, 6251, 56.45, 150.00
1762635044,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 38, 39, 4, 23028, 2741, 19859, 1695, 6251, 75.46, 150.00
1762635045,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 42, 52, 43, 23028, 19653, 2947, 1680, 6251, 126.89, 150.00
1762635047,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 42, 47, 38, 23028, 19815, 2785, 1680, 6251, 115.69, 150.00
1762635048,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 39, 0, 0, 23028, 21037, 1563, 1695, 6251, 64.94, 150.00
1762635049,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 43, 92, 93, 23028, 21037, 1563, 1650, 6251, 100.18, 150.00
1762635050,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 44, 93, 94, 23028, 21037, 1563, 1650, 6251, 147.93, 150.00
1762635051,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 45, 92, 93, 23028, 21037, 1563, 1605, 6251, 148.28, 150.00
1762635052,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 46, 92, 93, 23028, 21037, 1563, 1605, 6251, 147.71, 150.00
1762635053,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 47, 92, 93, 23028, 21037, 1563, 1455, 6251, 148.18, 150.00
