ts_unix,index,name,uuid,compute_cap,driver_version,temperature.gpu,utilization.gpu,utilization.memory,memory.total,memory.used,memory.free,clocks.sm,clocks.mem,power.draw,power.limit
1762617025,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 6251, 17.49, 150.00
1762617026,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 33, 0, 0, 23028, 0, 22599, 225, 6251, 27.54, 150.00
1762617027,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 33, 0, 0, 23028, 0, 22599, 210, 405, 27.52, 150.00
1762617028,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 405, 15.71, 150.00
1762617029,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 405, 15.72, 150.00
1762617030,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 405, 15.67, 150.00
1762617031,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 405, 15.67, 150.00
1762617032,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 405, 15.67, 150.00
1762617033,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 405, 15.66, 150.00
1762617034,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 405, 15.66, 150.00
1762617035,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 405, 15.66, 150.00
1762617036,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 405, 15.66, 150.00
1762617037,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 405, 15.66, 150.00
1762617038,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 32, 0, 0, 23028, 0, 22599, 210, 405, 15.71, 150.00
1762617039,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 33, 2, 0, 23028, 347, 22253, 1695, 6251, 25.76, 150.00
1762617040,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 32, 2, 23028, 3227, 19373, 1695, 6251, 55.14, 150.00
1762617041,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 2725, 19875, 1695, 6251, 55.46, 150.00
1762617042,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 34, 0, 0, 23028, 2725, 19875, 1695, 6251, 54.84, 150.00
1762617043,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 35, 0, 0, 23028, 2725, 19875, 1695, 6251, 54.61, 150.00
1762617044,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 35, 0, 0, 23028, 2725, 19875, 1695, 6251, 54.97, 150.00
1762617045,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 38, 100, 50, 23028, 3417, 19183, 1215, 6251, 73.93, 150.00
1762617046,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 37, 14, 10, 23028, 19533, 3067, 1515, 6251, 80.23, 150.00
1762617047,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 39, 40, 39, 23028, 19719, 2881, 1680, 6251, 134.32, 150.00
1762617048,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 38, 31, 34, 23028, 21037, 1563, 1680, 6251, 98.20, 150.00
1762617049,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 39, 61, 50, 23028, 21037, 1563, 1620, 6251, 63.86, 150.00
1762617050,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 41, 93, 92, 23028, 21037, 1563, 1620, 6251, 147.75, 150.00
1762617051,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 42, 93, 93, 23028, 21037, 1563, 1635, 6251, 147.68, 150.00
1762617052,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 43, 92, 93, 23028, 21037, 1563, 1620, 6251, 148.87, 150.00
1762617053,0, NVIDIA A10, GPU-359b21ab-3dbf-5646-ba1f-a513e3866c50, 8.6, 570.148.08, 44, 92, 93, 23028, 21037, 1563, 1620, 6251, 148.40, 150.00
